status file for recon-all
Tue Jan  2 06:12:34 UTC 2018
#@# MotionCor Tue Jan  2 06:13:16 UTC 2018
#@# Talairach Tue Jan  2 06:13:33 UTC 2018
#@# Talairach Failure Detection Tue Jan  2 06:23:52 UTC 2018
#@# Nu Intensity Correction Tue Jan  2 06:23:52 UTC 2018
#@# Intensity Normalization Tue Jan  2 06:34:53 UTC 2018
#@# Skull Stripping Tue Jan  2 06:39:34 UTC 2018
#@# EM Registration Tue Jan  2 07:29:08 UTC 2018
#@# CA Normalize Tue Jan  2 08:19:21 UTC 2018
#@# CA Reg Tue Jan  2 08:22:53 UTC 2018
#@# SubCort Seg Tue Jan  2 14:58:33 UTC 2018
#@# Merge ASeg Tue Jan  2 17:32:25 UTC 2018
#@# Intensity Normalization2 Tue Jan  2 17:32:25 UTC 2018
#@# Mask BFS Tue Jan  2 17:40:40 UTC 2018
#@# WM Segmentation Tue Jan  2 17:40:46 UTC 2018
#@# Fill Tue Jan  2 17:45:57 UTC 2018
#@# Tessellate lh Tue Jan  2 17:47:59 UTC 2018
#@# Tessellate rh Tue Jan  2 17:48:16 UTC 2018
#@# Smooth1 lh Tue Jan  2 17:48:33 UTC 2018
#@# Smooth1 rh Tue Jan  2 17:48:45 UTC 2018
#@# Inflation1 lh Tue Jan  2 17:48:56 UTC 2018
#@# Inflation1 rh Tue Jan  2 17:50:17 UTC 2018
#@# QSphere lh Tue Jan  2 17:51:42 UTC 2018
#@# QSphere rh Tue Jan  2 17:59:58 UTC 2018
#@# Fix Topology Copy lh Tue Jan  2 18:08:18 UTC 2018
#@# Fix Topology Copy rh Tue Jan  2 18:08:18 UTC 2018
#@# Fix Topology lh Tue Jan  2 18:08:18 UTC 2018
#@# Fix Topology rh Tue Jan  2 19:17:39 UTC 2018
#@# Make White Surf lh Tue Jan  2 20:44:07 UTC 2018
#@# Make White Surf rh Tue Jan  2 20:55:09 UTC 2018
#@# Smooth2 lh Tue Jan  2 21:06:30 UTC 2018
#@# Smooth2 rh Tue Jan  2 21:06:41 UTC 2018
#@# Inflation2 lh Tue Jan  2 21:06:51 UTC 2018
#@# Inflation2 rh Tue Jan  2 21:08:09 UTC 2018
#@# Curv .H and .K lh Tue Jan  2 21:09:29 UTC 2018
#@# Curv .H and .K rh Tue Jan  2 21:12:13 UTC 2018
#@# Curvature Stats lh Tue Jan  2 21:15:03 UTC 2018
#@# Curvature Stats rh Tue Jan  2 21:15:11 UTC 2018
#@# Sphere lh Tue Jan  2 21:15:19 UTC 2018
#@# Sphere rh Tue Jan  2 23:14:53 UTC 2018
#@# Surf Reg lh Wed Jan  3 01:09:48 UTC 2018
#@# Surf Reg rh Wed Jan  3 02:50:55 UTC 2018
#@# Jacobian white lh Wed Jan  3 04:44:44 UTC 2018
#@# Jacobian white rh Wed Jan  3 04:44:48 UTC 2018
#@# AvgCurv lh Wed Jan  3 04:44:52 UTC 2018
#@# AvgCurv rh Wed Jan  3 04:44:56 UTC 2018
#@# Cortical Parc lh Wed Jan  3 04:44:59 UTC 2018
#@# Cortical Parc rh Wed Jan  3 04:45:29 UTC 2018
#@# Make Pial Surf lh Wed Jan  3 04:46:00 UTC 2018
#@# Make Pial Surf rh Wed Jan  3 05:15:05 UTC 2018
#@# Surf Volume lh Wed Jan  3 05:45:25 UTC 2018
#@# Surf Volume rh Wed Jan  3 05:45:32 UTC 2018
#@# Cortical ribbon mask Wed Jan  3 05:45:38 UTC 2018
#@# Parcellation Stats lh Wed Jan  3 06:05:39 UTC 2018
#@# Parcellation Stats rh Wed Jan  3 06:08:15 UTC 2018
#@# Cortical Parc 2 lh Wed Jan  3 06:10:50 UTC 2018
#@# Cortical Parc 2 rh Wed Jan  3 06:11:25 UTC 2018
#@# Parcellation Stats 2 lh Wed Jan  3 06:12:01 UTC 2018
#@# Parcellation Stats 2 rh Wed Jan  3 06:13:19 UTC 2018
#@# Cortical Parc 3 lh Wed Jan  3 06:14:38 UTC 2018
#@# Cortical Parc 3 rh Wed Jan  3 06:15:05 UTC 2018
#@# Parcellation Stats 3 lh Wed Jan  3 06:15:31 UTC 2018
#@# Parcellation Stats 3 rh Wed Jan  3 06:16:46 UTC 2018
#@# WM/GM Contrast lh Wed Jan  3 06:18:01 UTC 2018
#@# WM/GM Contrast rh Wed Jan  3 06:18:12 UTC 2018
#@# Relabel Hypointensities Wed Jan  3 06:18:23 UTC 2018
#@# AParc-to-ASeg aparc Wed Jan  3 06:19:11 UTC 2018
#@# AParc-to-ASeg a2009s Wed Jan  3 06:27:53 UTC 2018
#@# AParc-to-ASeg DKTatlas Wed Jan  3 06:36:48 UTC 2018
#@# APas-to-ASeg Wed Jan  3 06:46:11 UTC 2018
#@# ASeg Stats Wed Jan  3 06:46:25 UTC 2018
#@# WMParc Wed Jan  3 06:53:06 UTC 2018
#@# BA_exvivo Labels lh Wed Jan  3 07:10:43 UTC 2018
#@# BA_exvivo Labels rh Wed Jan  3 07:18:50 UTC 2018
recon-all -s 3332 finished without error at Wed Jan  3 07:27:17 UTC 2018
