status file for recon-all
Tue Jan  2 06:15:00 UTC 2018
#@# MotionCor Tue Jan  2 06:16:43 UTC 2018
#@# Talairach Tue Jan  2 06:17:03 UTC 2018
#@# Talairach Failure Detection Tue Jan  2 06:27:44 UTC 2018
#@# Nu Intensity Correction Tue Jan  2 06:27:44 UTC 2018
#@# Intensity Normalization Tue Jan  2 06:36:36 UTC 2018
#@# Skull Stripping Tue Jan  2 06:41:40 UTC 2018
#@# EM Registration Tue Jan  2 07:26:47 UTC 2018
#@# CA Normalize Tue Jan  2 08:08:19 UTC 2018
#@# CA Reg Tue Jan  2 08:11:44 UTC 2018
#@# SubCort Seg Tue Jan  2 14:18:31 UTC 2018
#@# Merge ASeg Tue Jan  2 16:37:31 UTC 2018
#@# Intensity Normalization2 Tue Jan  2 16:37:31 UTC 2018
#@# Mask BFS Tue Jan  2 16:45:25 UTC 2018
#@# WM Segmentation Tue Jan  2 16:45:31 UTC 2018
#@# Fill Tue Jan  2 16:50:20 UTC 2018
#@# Tessellate lh Tue Jan  2 16:52:08 UTC 2018
#@# Tessellate rh Tue Jan  2 16:52:22 UTC 2018
#@# Smooth1 lh Tue Jan  2 16:52:35 UTC 2018
#@# Smooth1 rh Tue Jan  2 16:52:47 UTC 2018
#@# Inflation1 lh Tue Jan  2 16:52:59 UTC 2018
#@# Inflation1 rh Tue Jan  2 16:54:15 UTC 2018
#@# QSphere lh Tue Jan  2 16:55:27 UTC 2018
#@# QSphere rh Tue Jan  2 17:03:36 UTC 2018
#@# Fix Topology Copy lh Tue Jan  2 17:11:17 UTC 2018
#@# Fix Topology Copy rh Tue Jan  2 17:11:17 UTC 2018
#@# Fix Topology lh Tue Jan  2 17:11:18 UTC 2018
#@# Fix Topology rh Tue Jan  2 17:56:16 UTC 2018
#@# Make White Surf lh Tue Jan  2 18:37:33 UTC 2018
#@# Make White Surf rh Tue Jan  2 18:49:32 UTC 2018
#@# Smooth2 lh Tue Jan  2 19:01:31 UTC 2018
#@# Smooth2 rh Tue Jan  2 19:01:43 UTC 2018
#@# Inflation2 lh Tue Jan  2 19:01:55 UTC 2018
#@# Inflation2 rh Tue Jan  2 19:03:16 UTC 2018
#@# Curv .H and .K lh Tue Jan  2 19:04:35 UTC 2018
#@# Curv .H and .K rh Tue Jan  2 19:07:23 UTC 2018
#@# Curvature Stats lh Tue Jan  2 19:10:15 UTC 2018
#@# Curvature Stats rh Tue Jan  2 19:10:24 UTC 2018
#@# Sphere lh Tue Jan  2 19:10:32 UTC 2018
#@# Sphere rh Tue Jan  2 20:53:16 UTC 2018
#@# Surf Reg lh Tue Jan  2 22:32:53 UTC 2018
#@# Surf Reg rh Wed Jan  3 00:42:25 UTC 2018
#@# Jacobian white lh Wed Jan  3 02:34:00 UTC 2018
#@# Jacobian white rh Wed Jan  3 02:34:04 UTC 2018
#@# AvgCurv lh Wed Jan  3 02:34:08 UTC 2018
#@# AvgCurv rh Wed Jan  3 02:34:11 UTC 2018
#@# Cortical Parc lh Wed Jan  3 02:34:14 UTC 2018
#@# Cortical Parc rh Wed Jan  3 02:34:50 UTC 2018
#@# Make Pial Surf lh Wed Jan  3 02:35:26 UTC 2018
#@# Make Pial Surf rh Wed Jan  3 03:06:13 UTC 2018
#@# Surf Volume lh Wed Jan  3 03:37:52 UTC 2018
#@# Surf Volume rh Wed Jan  3 03:38:00 UTC 2018
#@# Cortical ribbon mask Wed Jan  3 03:38:07 UTC 2018
#@# Parcellation Stats lh Wed Jan  3 04:09:07 UTC 2018
#@# Parcellation Stats rh Wed Jan  3 04:12:06 UTC 2018
#@# Cortical Parc 2 lh Wed Jan  3 04:15:13 UTC 2018
#@# Cortical Parc 2 rh Wed Jan  3 04:15:57 UTC 2018
#@# Parcellation Stats 2 lh Wed Jan  3 04:16:41 UTC 2018
#@# Parcellation Stats 2 rh Wed Jan  3 04:18:13 UTC 2018
#@# Cortical Parc 3 lh Wed Jan  3 04:19:44 UTC 2018
#@# Cortical Parc 3 rh Wed Jan  3 04:20:21 UTC 2018
#@# Parcellation Stats 3 lh Wed Jan  3 04:20:58 UTC 2018
#@# Parcellation Stats 3 rh Wed Jan  3 04:22:28 UTC 2018
#@# WM/GM Contrast lh Wed Jan  3 04:23:58 UTC 2018
#@# WM/GM Contrast rh Wed Jan  3 04:24:10 UTC 2018
#@# Relabel Hypointensities Wed Jan  3 04:24:23 UTC 2018
#@# AParc-to-ASeg aparc Wed Jan  3 04:25:17 UTC 2018
#@# AParc-to-ASeg a2009s Wed Jan  3 04:36:27 UTC 2018
#@# AParc-to-ASeg DKTatlas Wed Jan  3 04:47:07 UTC 2018
#@# APas-to-ASeg Wed Jan  3 04:58:30 UTC 2018
#@# ASeg Stats Wed Jan  3 04:58:45 UTC 2018
#@# WMParc Wed Jan  3 05:08:36 UTC 2018
#@# BA_exvivo Labels lh Wed Jan  3 05:32:29 UTC 2018
#@# BA_exvivo Labels rh Wed Jan  3 05:42:37 UTC 2018
recon-all -s 3352 finished without error at Wed Jan  3 05:52:39 UTC 2018
