status file for recon-all
Tue Jan  2 06:13:35 UTC 2018
#@# MotionCor Tue Jan  2 06:14:45 UTC 2018
#@# Talairach Tue Jan  2 06:15:05 UTC 2018
#@# Talairach Failure Detection Tue Jan  2 06:23:48 UTC 2018
#@# Nu Intensity Correction Tue Jan  2 06:23:48 UTC 2018
#@# Intensity Normalization Tue Jan  2 06:34:07 UTC 2018
#@# Skull Stripping Tue Jan  2 06:38:34 UTC 2018
#@# EM Registration Tue Jan  2 07:28:36 UTC 2018
#@# CA Normalize Tue Jan  2 08:36:05 UTC 2018
#@# CA Reg Tue Jan  2 08:39:34 UTC 2018
#@# SubCort Seg Tue Jan  2 14:47:11 UTC 2018
#@# Merge ASeg Tue Jan  2 17:01:28 UTC 2018
#@# Intensity Normalization2 Tue Jan  2 17:01:28 UTC 2018
#@# Mask BFS Tue Jan  2 17:09:32 UTC 2018
#@# WM Segmentation Tue Jan  2 17:09:37 UTC 2018
#@# Fill Tue Jan  2 17:14:38 UTC 2018
#@# Tessellate lh Tue Jan  2 17:16:28 UTC 2018
#@# Tessellate rh Tue Jan  2 17:16:43 UTC 2018
#@# Smooth1 lh Tue Jan  2 17:16:59 UTC 2018
#@# Smooth1 rh Tue Jan  2 17:17:10 UTC 2018
#@# Inflation1 lh Tue Jan  2 17:17:21 UTC 2018
#@# Inflation1 rh Tue Jan  2 17:18:39 UTC 2018
#@# QSphere lh Tue Jan  2 17:19:57 UTC 2018
#@# QSphere rh Tue Jan  2 17:27:41 UTC 2018
#@# Fix Topology Copy lh Tue Jan  2 17:35:31 UTC 2018
#@# Fix Topology Copy rh Tue Jan  2 17:35:31 UTC 2018
#@# Fix Topology lh Tue Jan  2 17:35:31 UTC 2018
#@# Fix Topology rh Tue Jan  2 18:34:36 UTC 2018
#@# Make White Surf lh Tue Jan  2 19:43:00 UTC 2018
#@# Make White Surf rh Tue Jan  2 19:54:32 UTC 2018
#@# Smooth2 lh Tue Jan  2 20:06:00 UTC 2018
#@# Smooth2 rh Tue Jan  2 20:06:11 UTC 2018
#@# Inflation2 lh Tue Jan  2 20:06:22 UTC 2018
#@# Inflation2 rh Tue Jan  2 20:07:40 UTC 2018
#@# Curv .H and .K lh Tue Jan  2 20:09:03 UTC 2018
#@# Curv .H and .K rh Tue Jan  2 20:11:55 UTC 2018
#@# Curvature Stats lh Tue Jan  2 20:14:43 UTC 2018
#@# Curvature Stats rh Tue Jan  2 20:14:51 UTC 2018
#@# Sphere lh Tue Jan  2 20:15:00 UTC 2018
#@# Sphere rh Tue Jan  2 22:20:14 UTC 2018
#@# Surf Reg lh Wed Jan  3 00:12:35 UTC 2018
#@# Surf Reg rh Wed Jan  3 02:11:35 UTC 2018
#@# Jacobian white lh Wed Jan  3 03:51:26 UTC 2018
#@# Jacobian white rh Wed Jan  3 03:51:30 UTC 2018
#@# AvgCurv lh Wed Jan  3 03:51:35 UTC 2018
#@# AvgCurv rh Wed Jan  3 03:51:38 UTC 2018
#@# Cortical Parc lh Wed Jan  3 03:51:42 UTC 2018
#@# Cortical Parc rh Wed Jan  3 03:52:19 UTC 2018
#@# Make Pial Surf lh Wed Jan  3 03:52:52 UTC 2018
#@# Make Pial Surf rh Wed Jan  3 04:23:58 UTC 2018
#@# Surf Volume lh Wed Jan  3 04:53:42 UTC 2018
#@# Surf Volume rh Wed Jan  3 04:53:49 UTC 2018
#@# Cortical ribbon mask Wed Jan  3 04:53:56 UTC 2018
#@# Parcellation Stats lh Wed Jan  3 05:24:12 UTC 2018
#@# Parcellation Stats rh Wed Jan  3 05:27:13 UTC 2018
#@# Cortical Parc 2 lh Wed Jan  3 05:30:06 UTC 2018
#@# Cortical Parc 2 rh Wed Jan  3 05:30:46 UTC 2018
#@# Parcellation Stats 2 lh Wed Jan  3 05:31:28 UTC 2018
#@# Parcellation Stats 2 rh Wed Jan  3 05:32:55 UTC 2018
#@# Cortical Parc 3 lh Wed Jan  3 05:34:21 UTC 2018
#@# Cortical Parc 3 rh Wed Jan  3 05:34:53 UTC 2018
#@# Parcellation Stats 3 lh Wed Jan  3 05:35:26 UTC 2018
#@# Parcellation Stats 3 rh Wed Jan  3 05:36:54 UTC 2018
#@# WM/GM Contrast lh Wed Jan  3 05:38:21 UTC 2018
#@# WM/GM Contrast rh Wed Jan  3 05:38:34 UTC 2018
#@# Relabel Hypointensities Wed Jan  3 05:38:47 UTC 2018
#@# AParc-to-ASeg aparc Wed Jan  3 05:39:45 UTC 2018
#@# AParc-to-ASeg a2009s Wed Jan  3 05:50:05 UTC 2018
#@# AParc-to-ASeg DKTatlas Wed Jan  3 05:59:31 UTC 2018
#@# APas-to-ASeg Wed Jan  3 06:08:46 UTC 2018
#@# ASeg Stats Wed Jan  3 06:09:00 UTC 2018
#@# WMParc Wed Jan  3 06:15:47 UTC 2018
#@# BA_exvivo Labels lh Wed Jan  3 06:34:30 UTC 2018
#@# BA_exvivo Labels rh Wed Jan  3 06:43:46 UTC 2018
recon-all -s 3350 finished without error at Wed Jan  3 06:52:59 UTC 2018
