status file for recon-all
Tue Jan  2 06:11:33 UTC 2018
#@# MotionCor Tue Jan  2 06:11:40 UTC 2018
#@# Talairach Tue Jan  2 06:11:55 UTC 2018
#@# Talairach Failure Detection Tue Jan  2 06:18:08 UTC 2018
#@# Nu Intensity Correction Tue Jan  2 06:18:08 UTC 2018
#@# Intensity Normalization Tue Jan  2 06:32:09 UTC 2018
#@# Skull Stripping Tue Jan  2 06:36:49 UTC 2018
#@# EM Registration Tue Jan  2 07:13:15 UTC 2018
#@# CA Normalize Tue Jan  2 07:56:45 UTC 2018
#@# CA Reg Tue Jan  2 08:00:04 UTC 2018
#@# SubCort Seg Tue Jan  2 13:27:36 UTC 2018
#@# Merge ASeg Tue Jan  2 15:30:16 UTC 2018
#@# Intensity Normalization2 Tue Jan  2 15:30:16 UTC 2018
#@# Mask BFS Tue Jan  2 15:37:49 UTC 2018
#@# WM Segmentation Tue Jan  2 15:37:53 UTC 2018
#@# Fill Tue Jan  2 15:42:16 UTC 2018
#@# Tessellate lh Tue Jan  2 15:44:01 UTC 2018
#@# Tessellate rh Tue Jan  2 15:44:14 UTC 2018
#@# Smooth1 lh Tue Jan  2 15:44:28 UTC 2018
#@# Smooth1 rh Tue Jan  2 15:44:38 UTC 2018
#@# Inflation1 lh Tue Jan  2 15:44:49 UTC 2018
#@# Inflation1 rh Tue Jan  2 15:45:57 UTC 2018
#@# QSphere lh Tue Jan  2 15:47:06 UTC 2018
#@# QSphere rh Tue Jan  2 15:54:40 UTC 2018
#@# Fix Topology Copy lh Tue Jan  2 16:01:41 UTC 2018
#@# Fix Topology Copy rh Tue Jan  2 16:01:41 UTC 2018
#@# Fix Topology lh Tue Jan  2 16:01:41 UTC 2018
#@# Fix Topology rh Tue Jan  2 16:55:33 UTC 2018
#@# Make White Surf lh Tue Jan  2 17:45:49 UTC 2018
#@# Make White Surf rh Tue Jan  2 17:56:28 UTC 2018
#@# Smooth2 lh Tue Jan  2 18:07:25 UTC 2018
#@# Smooth2 rh Tue Jan  2 18:07:36 UTC 2018
#@# Inflation2 lh Tue Jan  2 18:07:47 UTC 2018
#@# Inflation2 rh Tue Jan  2 18:09:13 UTC 2018
#@# Curv .H and .K lh Tue Jan  2 18:10:35 UTC 2018
#@# Curv .H and .K rh Tue Jan  2 18:13:16 UTC 2018
#@# Curvature Stats lh Tue Jan  2 18:15:56 UTC 2018
#@# Curvature Stats rh Tue Jan  2 18:16:04 UTC 2018
#@# Sphere lh Tue Jan  2 18:16:12 UTC 2018
#@# Sphere rh Tue Jan  2 19:47:09 UTC 2018
#@# Surf Reg lh Tue Jan  2 21:23:20 UTC 2018
#@# Surf Reg rh Tue Jan  2 23:10:51 UTC 2018
#@# Jacobian white lh Wed Jan  3 01:02:28 UTC 2018
#@# Jacobian white rh Wed Jan  3 01:02:32 UTC 2018
#@# AvgCurv lh Wed Jan  3 01:02:36 UTC 2018
#@# AvgCurv rh Wed Jan  3 01:02:40 UTC 2018
#@# Cortical Parc lh Wed Jan  3 01:02:43 UTC 2018
#@# Cortical Parc rh Wed Jan  3 01:03:17 UTC 2018
#@# Make Pial Surf lh Wed Jan  3 01:03:49 UTC 2018
#@# Make Pial Surf rh Wed Jan  3 01:33:56 UTC 2018
#@# Surf Volume lh Wed Jan  3 02:05:20 UTC 2018
#@# Surf Volume rh Wed Jan  3 02:05:27 UTC 2018
#@# Cortical ribbon mask Wed Jan  3 02:05:34 UTC 2018
#@# Parcellation Stats lh Wed Jan  3 02:31:36 UTC 2018
#@# Parcellation Stats rh Wed Jan  3 02:34:30 UTC 2018
#@# Cortical Parc 2 lh Wed Jan  3 02:37:29 UTC 2018
#@# Cortical Parc 2 rh Wed Jan  3 02:38:08 UTC 2018
#@# Parcellation Stats 2 lh Wed Jan  3 02:38:50 UTC 2018
#@# Parcellation Stats 2 rh Wed Jan  3 02:40:19 UTC 2018
#@# Cortical Parc 3 lh Wed Jan  3 02:41:47 UTC 2018
#@# Cortical Parc 3 rh Wed Jan  3 02:42:21 UTC 2018
#@# Parcellation Stats 3 lh Wed Jan  3 02:42:56 UTC 2018
#@# Parcellation Stats 3 rh Wed Jan  3 02:44:24 UTC 2018
#@# WM/GM Contrast lh Wed Jan  3 02:45:52 UTC 2018
#@# WM/GM Contrast rh Wed Jan  3 02:46:05 UTC 2018
#@# Relabel Hypointensities Wed Jan  3 02:46:17 UTC 2018
#@# AParc-to-ASeg aparc Wed Jan  3 02:47:13 UTC 2018
#@# AParc-to-ASeg a2009s Wed Jan  3 02:57:53 UTC 2018
#@# AParc-to-ASeg DKTatlas Wed Jan  3 03:08:44 UTC 2018
#@# APas-to-ASeg Wed Jan  3 03:20:14 UTC 2018
#@# ASeg Stats Wed Jan  3 03:20:30 UTC 2018
#@# WMParc Wed Jan  3 03:30:31 UTC 2018
#@# BA_exvivo Labels lh Wed Jan  3 03:57:08 UTC 2018
#@# BA_exvivo Labels rh Wed Jan  3 04:07:14 UTC 2018
recon-all -s 3327 finished without error at Wed Jan  3 04:17:27 UTC 2018
